City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Haicheng,40.8516,122.7475,59.22,45,100,11.1,CN,2022-05-06 04:08:19
116,Cayenne,4.9333,-52.3333,78.1,1,75,4.0,GF,2022-05-06 04:08:20
117,Touros,-5.1989,-35.4608,76.44,92,100,9.78,BR,2022-05-06 04:08:20
118,Honiara,-9.4333,159.95,84.92,73,91,5.82,SB,2022-05-06 04:08:21
119,Labuan,5.2767,115.2417,83.05,76,86,4.7,MY,2022-05-06 04:08:22
120,Poddorye,57.4695,31.1156,41.92,68,96,6.51,RU,2022-05-06 04:08:22
121,Moskovskoye,45.2842,41.9103,45.25,97,100,16.51,RU,2022-05-06 04:08:23
122,Alofi,-19.0595,-169.9187,79.36,69,19,6.26,NU,2022-05-06 04:08:23
123,Yellowknife,62.456,-114.3525,42.15,79,94,8.79,CA,2022-05-06 04:08:24
124,Georgetown,5.4112,100.3354,89.53,70,20,4.61,MY,2022-05-06 04:07:02
125,Port Hedland,-20.3167,118.5667,84.25,30,0,13.8,AU,2022-05-06 04:08:24
126,Severo-Kurilsk,50.6789,156.125,37.62,81,66,5.32,RU,2022-05-06 04:08:25
127,Adrar,20.5022,-10.0711,74.52,20,3,10.92,MR,2022-05-06 04:08:25
128,Souillac,-20.5167,57.5167,77.38,83,75,19.57,MU,2022-05-06 04:08:26
129,Albania,41.0,20.0,57.88,73,47,2.3,AL,2022-05-06 04:08:26
130,Geraldton,-28.7667,114.6,75.61,27,0,13.8,AU,2022-05-06 04:08:27
131,Zherdevka,51.8486,41.4606,42.6,59,0,4.9,RU,2022-05-06 04:08:27
132,Tamana,32.9167,130.5667,72.9,77,100,2.84,JP,2022-05-06 04:08:28
133,Hilo,19.7297,-155.09,79.29,93,100,8.05,US,2022-05-06 04:08:28
134,Progreso,21.2833,-89.6667,85.1,68,25,11.27,MX,2022-05-06 04:08:29
135,Ambon,-3.6954,128.1814,91.54,62,20,6.91,ID,2022-05-06 04:08:29
136,Leh,34.1667,77.5833,47.61,47,57,3.83,IN,2022-05-06 04:08:30
137,Mar Del Plata,-38.0023,-57.5575,57.87,76,0,9.22,AR,2022-05-06 04:09:30
138,Kushmurun,52.4503,64.6311,48.04,47,30,19.55,KZ,2022-05-06 04:09:31
139,Lima,-12.0432,-77.0282,66.9,79,40,16.11,PE,2022-05-06 04:09:31
140,North Platte,41.1239,-100.7654,49.12,88,0,8.01,US,2022-05-06 04:09:32
141,Ulaangom,49.9811,92.0667,54.07,20,100,4.79,MN,2022-05-06 04:09:32
142,Vardo,70.3705,31.1107,35.64,97,100,12.33,NO,2022-05-06 04:09:33
143,Rudnya,54.947,31.0934,40.32,75,19,5.91,RU,2022-05-06 04:09:33
144,Bredasdorp,-34.5322,20.0403,56.32,93,25,5.61,ZA,2022-05-06 04:09:34
145,Yulara,-25.2406,130.9889,64.74,28,81,12.57,AU,2022-05-06 04:09:34
146,Bethel,41.3712,-73.414,57.72,60,0,0.0,US,2022-05-06 04:09:35
147,Shache,38.4167,77.2406,79.18,19,91,6.33,CN,2022-05-06 04:09:35
148,Willmar,45.1219,-95.0433,55.42,54,100,3.44,US,2022-05-06 04:09:36
149,Stavanger,58.9701,5.7333,49.24,90,75,10.36,NO,2022-05-06 04:09:36
150,Poum,-20.2333,164.0167,77.67,75,14,5.77,NC,2022-05-06 04:09:37
151,Dickinson,29.4608,-95.0513,73.94,95,40,0.0,US,2022-05-06 04:09:37
152,Nizhneangarsk,55.7833,109.55,31.78,72,9,2.86,RU,2022-05-06 04:09:38
153,Klaksvik,62.2266,-6.589,45.52,89,93,19.42,FO,2022-05-06 04:09:38
154,Kawalu,-7.3817,108.2082,85.87,64,43,4.88,ID,2022-05-06 04:09:38
155,Saryagash,41.4511,69.1701,70.23,75,100,4.07,KZ,2022-05-06 04:09:39
156,Kruisfontein,-34.0033,24.7314,57.07,88,11,8.23,ZA,2022-05-06 04:09:39
157,Lope De Vega,12.2983,124.6238,93.51,48,66,5.88,PH,2022-05-06 04:09:40
158,Capitao Poco,-1.7464,-47.0594,72.7,98,100,3.58,BR,2022-05-06 04:09:40
159,Vao,-22.6667,167.4833,75.31,76,3,21.3,NC,2022-05-06 04:09:41
160,Komsomolskiy,40.4272,71.7189,72.32,60,100,2.3,UZ,2022-05-06 04:09:41
161,Ojinaga,29.5667,-104.4167,78.57,16,0,8.05,MX,2022-05-06 04:09:42
162,Kodiak,57.79,-152.4072,44.11,87,100,11.5,US,2022-05-06 04:09:42
163,Verkhnevilyuysk,63.4453,120.3167,38.77,61,92,6.89,RU,2022-05-06 04:09:43
164,Shiyan,32.6475,110.7781,87.12,38,1,4.32,CN,2022-05-06 04:09:43
165,Waipawa,-41.4122,175.5153,59.56,76,10,1.97,NZ,2022-05-06 04:09:44
166,Keuruu,62.2667,24.7,41.18,87,71,4.03,FI,2022-05-06 04:09:44
167,Kikwit,-5.041,18.8162,70.56,86,73,1.43,CD,2022-05-06 04:09:45
168,Port Moresby,-9.4431,147.1797,82.33,77,57,7.94,PG,2022-05-06 04:08:42
169,Lake Havasu City,34.4839,-114.3224,89.6,9,0,9.22,US,2022-05-06 04:09:45
170,The Valley,18.217,-63.0578,78.1,72,22,17.38,AI,2022-05-06 04:09:46
171,Rumonge,-3.9736,29.4386,72.09,79,98,3.87,BI,2022-05-06 04:09:46
172,Matara,5.9485,80.5353,83.16,78,99,13.85,LK,2022-05-06 04:09:47
173,Kovdor,67.5662,30.4758,35.56,89,100,9.31,RU,2022-05-06 04:09:47
174,Provideniya,64.3833,-173.3,30.36,80,0,0.0,RU,2022-05-06 04:09:48
175,Nelson Bay,-32.7167,152.15,69.1,49,8,1.99,AU,2022-05-06 04:08:45
176,Faanui,-16.4833,-151.75,81.63,71,81,7.58,PF,2022-05-06 04:09:49
177,Sur,22.5667,59.5289,86.7,43,0,5.23,OM,2022-05-06 04:09:49
178,Varzelandia,-15.7014,-44.0275,69.57,61,12,2.19,BR,2022-05-06 04:10:50
179,Flin Flon,54.7682,-101.865,38.7,100,100,8.5,CA,2022-05-06 04:10:50
180,Altamira,-3.2033,-52.2064,72.95,98,91,3.02,BR,2022-05-06 04:10:51
181,Namwala,-15.7504,26.4384,56.23,90,2,3.09,ZM,2022-05-06 04:10:51
182,Nome,64.5011,-165.4064,40.15,69,0,8.05,US,2022-05-06 04:10:52
183,Rampura,30.25,75.2333,97.09,22,0,3.98,IN,2022-05-06 04:10:52
184,Namibe,-15.1961,12.1522,76.84,51,0,0.94,AO,2022-05-06 04:10:53
185,San Matias,-16.3667,-58.4,59.29,56,0,2.46,BO,2022-05-06 04:10:53
186,Shimanovsk,52.0,127.7,52.29,19,100,16.96,RU,2022-05-06 04:10:54
187,Gamba,-2.65,10.0,76.95,94,99,5.06,GA,2022-05-06 04:10:59
188,Altay,47.8667,88.1167,64.35,49,100,7.0,CN,2022-05-06 04:11:00
189,Sakakah,29.9697,40.2064,60.69,40,0,15.86,SA,2022-05-06 04:11:00
190,Bengkulu,-3.8004,102.2655,85.24,65,69,4.79,ID,2022-05-06 04:11:01
191,Visnes,59.3556,5.2242,49.21,93,100,11.5,NO,2022-05-06 04:11:01
192,Lebu,-37.6167,-73.65,51.3,86,0,4.59,CL,2022-05-06 04:11:02
193,Andenes,69.3143,16.1194,39.18,81,75,20.71,NO,2022-05-06 04:11:02
194,Chapais,49.7834,-74.8492,23.41,90,27,5.21,CA,2022-05-06 04:11:03
195,Khatanga,71.9667,102.5,20.79,83,61,17.87,RU,2022-05-06 04:11:03
196,Pisco,-13.7,-76.2167,64.02,88,34,5.75,PE,2022-05-06 04:11:04
197,Fuling,29.7022,107.3919,86.07,50,100,2.33,CN,2022-05-06 04:11:04
198,Kozhva,65.1073,57.0459,27.14,59,86,7.34,RU,2022-05-06 04:11:05
199,Freeport,40.6576,-73.5832,62.19,75,0,4.61,US,2022-05-06 04:10:37
200,Svetlogorsk,52.6333,29.7333,41.81,76,30,6.15,BY,2022-05-06 04:11:05
201,Kihei,20.785,-156.4656,75.22,84,40,21.85,US,2022-05-06 04:11:06
202,Alyangula,-13.8483,136.4192,82.71,62,78,18.43,AU,2022-05-06 04:11:06
203,Coquimbo,-29.9533,-71.3436,58.21,86,100,1.14,CL,2022-05-06 04:11:07
204,Jardim,-21.4803,-56.1381,58.01,89,0,3.0,BR,2022-05-06 04:11:07
205,Hvide Sande,56.0045,8.1294,46.09,88,98,11.81,DK,2022-05-06 04:11:07
206,Huejuquilla El Alto,22.6,-103.8667,63.39,42,9,3.4,MX,2022-05-06 04:11:08
207,Aykhal,66.0,111.5,34.52,100,100,19.55,RU,2022-05-06 04:11:08
208,Doka,13.5167,35.7667,83.79,45,90,5.66,SD,2022-05-06 04:10:17
209,Oistins,13.0667,-59.5333,78.89,83,40,18.41,BB,2022-05-06 04:11:09
210,Constitucion,-35.3333,-72.4167,54.97,89,0,6.26,CL,2022-05-06 04:11:09
211,La Ronge,55.1001,-105.2842,37.85,97,90,11.36,CA,2022-05-06 04:11:10
212,Kununurra,-15.7667,128.7333,87.78,27,0,1.14,AU,2022-05-06 04:08:13
213,Kaitong,44.8135,123.15,62.42,11,3,17.45,CN,2022-05-06 04:11:10
214,Ponta Do Sol,32.6667,-17.1,64.71,70,100,3.44,PT,2022-05-06 04:11:11
215,Lavrentiya,65.5833,-171.0,25.92,80,15,1.83,RU,2022-05-06 04:11:11
216,Swellendam,-34.0226,20.4417,56.55,92,64,0.63,ZA,2022-05-06 04:11:12
217,Rocha,-34.4833,-54.3333,51.66,89,73,5.61,UY,2022-05-06 04:09:42
218,Ballina,-28.8667,153.5667,73.78,93,100,5.77,AU,2022-05-06 04:11:13
219,Roseburg,43.2165,-123.3417,57.31,92,100,0.0,US,2022-05-06 04:07:14
